Status,Country,ReactorCode,Reactor Name,Type,Grid Connection,Commercial operation,Shutdown,LinkA,LinkB
Operational,RUSSIA,RU-12,KOLA-1,PWR,6/1/1973,12/1/1973,1/1/2021,https://en.wikipedia.org/wiki/Kola_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Kola_Nuclear_Power_Plant
Operational,RUSSIA,RU-23,SMOLENSK-1,LWGR,12/1/1982,9/1/1983,1/1/2021,https://en.wikipedia.org/wiki/Smolensk_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Smolensk_Nuclear_Power_Plant
Operational,UKRAINE,UA-54,ZAPOROZHYE-1,PWR,12/1/1984,12/1/1985,1/1/2021,https://en.wikipedia.org/wiki/Zaporizhzhia_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Zaporizhzhia_Nuclear_Power_Plant
Operational,RUSSIA,RU-30,KALININ-1,PWR,5/1/1984,6/1/1985,1/1/2021,https://en.wikipedia.org/wiki/Kalinin_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Kalinin_Nuclear_Power_Plant
Operational,RUSSIA,RU-17,KURSK-1,LWGR,12/1/1976,10/1/1977,1/1/2021,https://en.wikipedia.org/wiki/Kursk_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Kursk_Nuclear_Power_Plant
Operational,RUSSIA,RU-161,NOVOVORONEZH 2-1,PWR,8/1/2016,2/1/2017,1/1/2021,https://en.wikipedia.org/wiki/Novovoronezh_Nuclear_Power_Plant_II,https://en.wikipedia.org/wiki/Novovoronezh_Nuclear_Power_Plant_II
Operational,BELGIUM,BE-2,DOEL-1,PWR,8/1/1974,2/1/1975,1/1/2021,https://en.wikipedia.org/wiki/Doel_Nuclear_Power_Station,https://en.wikipedia.org/wiki/Doel_Nuclear_Power_Station
Operational,FRANCE,FR-18,TRICASTIN-1,PWR,5/1/1980,12/1/1980,1/1/2021,https://en.wikipedia.org/wiki/Tricastin_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Tricastin_Nuclear_Power_Plant
Operational,FRANCE,FR-48,ST. ALBAN-1,PWR,8/1/1985,5/1/1986,1/1/2021,https://en.wikipedia.org/wiki/Saint-Alban_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Saint-Alban_Nuclear_Power_Plant
Operational,FRANCE,FR-42,CRUAS-1,PWR,4/1/1983,4/1/1984,1/1/2021,https://en.wikipedia.org/wiki/Cruas_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Cruas_Nuclear_Power_Plant
Operational,FRANCE,FR-62,CHOOZ B-1,PWR,8/1/1996,5/1/2000,1/1/2021,https://en.wikipedia.org/wiki/Chooz_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Chooz_Nuclear_Power_Plant
Operational,UK,GB-17A,HUNTERSTON B-1,GCR,2/1/1976,2/1/1976,1/1/2021,https://en.wikipedia.org/wiki/Hunterston_B_nuclear_power_station,https://en.wikipedia.org/wiki/Hunterston_B_nuclear_power_station
Operational,RUSSIA,RU-59,ROSTOV-1,PWR,3/1/2001,12/1/2001,1/1/2021,https://en.wikipedia.org/wiki/Rostov_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Rostov_Nuclear_Power_Plant
Operational,BRAZIL,BR-1,ANGRA-1,PWR,4/1/1982,1/1/1985,1/1/2021,https://en.wikipedia.org/wiki/Angra_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Angra_Nuclear_Power_Plant
